,A2,,,A9,,,B3,,,B4,,C1,C2,C4,C5,è„,â∫
0.736,1743222.4,,0.736,8158388,,0.736,336161,,0.736,1346150.4,,790327.2,257440.1,904552.4,709.7,1397098.1,1413224.4
0.74,1698187.8,,0.74,7989750.5,,0.74,325645.9,,0.74,1288426.8,,763405.4,248599.2,862976.1,703,1345579.5,1380744.6
0.744,1654307.8,,0.744,7791556,,0.744,315580,,0.744,1258988.6,,762205.5,239791.6,832699.6,627.1,1304819.4,1334281.8
0.748,1598856.1,,0.748,7608411,,0.748,304283.1,,0.748,1213245.8,,707322.6,231456.1,794194.6,624.6,1254246.9,1288893
0.752,1551001.9,,0.752,7286415,,0.752,293101.6,,0.752,1175447,,667958.1,221862.2,761216.9,599.5,1205587,1245084.8
0.756,1505557,,0.756,7143713,,0.756,281060.3,,0.756,1123837.4,,655864.2,212107.7,755572.3,599.5,1160728,1188577
0.76,1443889.9,,0.76,6700472.5,,0.76,270351.9,,0.76,1077293.1,,634828.1,203448.8,722471.9,553.6,1112284.9,1150216.8
0.764,1397952.4,,0.764,6602335.5,,0.764,256846.3,,0.764,1029767.6,,595620.1,193188.5,694261.4,528.6,1058464.5,1100136
0.768,1343255.6,,0.768,6271886,,0.768,245749.2,,0.768,981292.8,,578947.2,184795.9,648055.4,524.4,1009798.3,1049208.4
0.772,1281878.1,,0.772,6032455.5,,0.772,234380.6,,0.772,927625.8,,550836.1,175717.3,622308.2,473.6,971911.8,1003767.8
0.776,1218263.5,,0.776,5780855.5,,0.776,223794.2,,0.776,868848.1,,515275.5,167643.3,588567.2,492.7,918996.5,949206.3
0.78,1162743.1,,0.78,5442651.5,,0.78,212068.4,,0.78,839305.3,,478723.3,158899.7,562254.4,412.7,868531.9,907817.2
0.784,1115304.4,,0.784,5172036,,0.784,202462.6,,0.784,805076.9,,462608.7,150638.7,540263.6,423.5,821860.8,854357.4
0.788,1062228.4,,0.788,4837442.5,,0.788,190780.3,,0.788,759230.4,,424083.6,142658,512235.9,432.7,779065.4,809727.8
0.792,1015723.1,,0.792,4613865.5,,0.792,181967.7,,0.792,719700.9,,407092.6,134991.6,482269.3,392.7,738431.1,762678.1
0.796,958346.2,,0.796,4447472,,0.796,173118,,0.796,674428.4,,387380.2,128711.7,465275.1,356.8,698018.9,719807.7
0.8,903526.9,,0.8,4196477.5,,0.8,163902.1,,0.8,647498.2,,361214.3,121992.2,432778.4,390.2,656852.8,680110.1
0.804,865066.2,,0.804,3942654.8,,0.804,155943.6,,0.804,608454,,359311.2,115412.5,411043.5,363.5,620622.9,645414.4
0.808,819456.6,,0.808,3759896,,0.808,148661.4,,0.808,577203.9,,335691.2,110253.2,390853.2,341,582610.6,607740.4
0.812,779573.9,,0.812,3638516.2,,0.812,140995.8,,0.812,544832,,341120,104493.6,370137.5,325.9,555965.9,574438.1
0.816,742026.8,,0.816,3487996.8,,0.816,134373,,0.816,521492.2,,316339.2,98785.4,357915.7,321.8,517349.8,539358.6
0.82,706060.3,,0.82,3180746.5,,0.82,127695.9,,0.82,493581.8,,302413.5,93770.2,332129.4,291.8,492194.7,506613.5
0.824,671009.3,,0.824,3075383.2,,0.824,120880.4,,0.824,466851.4,,287618.1,89960,342365.5,302.6,462179.4,476622.5
0.828,636828.4,,0.828,2872786.8,,0.828,115090.9,,0.828,443973.6,,280447.8,84100.8,323145.9,277.6,440551.3,452015.1
0.832,612469.4,,0.832,2751451.8,,0.832,109931.5,,0.832,426508.9,,256937.5,80745.7,309111.6,305.1,417026.5,424853.3
0.836,576120.2,,0.836,2607930.2,,0.836,105883,,0.836,394717.5,,252189.3,76958.5,294904.8,268.4,389908,397758.1
